feature,importance
kidney_outlier_flag,0.0004644824230341819
physical_outlier_flag,0.000996449615373618
hearing_left,0.0017551914748054158
hearing_right,0.001893673027507592
urine_protein,0.004738410256776274
dental_caries,0.008564431971204675
eyesight_right,0.026545911833350127
eyesight_left,0.026639734057946913
age,0.03984224251013674
ast,0.040450159097676755
relaxation,0.0408670250930835
weight_kg,0.041012741650097106
serum_creatinine,0.04295130971771168
systolic,0.04375241338209628
fasting_blood_sugar,0.04515903219385455
alt,0.04615287293681798
cholesterol,0.04866042716958225
waist_cm,0.049488239133060816
hdl,0.04960582716663193
ldl,0.05021800525073964
triglyceride,0.06929089817773312
gtp,0.09758775658004859
height_cm,0.11148329300672741
hemoglobin,0.11187947227400286
